t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
     0.00	|	     0.00     0.00     0.00	|	    15.00    25.00    35.00	|	  3000.00  2000.00     0.00	|	    -5.00    10.00   -10.00	|	  3000.00 -2000.00     0.00	|	    -5.00   -10.00    10.00	|
     9.90	|	   154.31   250.00   349.82	|	    15.87    25.00    34.95	|	  2927.63  2083.10   -98.79	|	    -9.58     6.56    -9.62	|	  2929.30 -2083.06   100.54	|	    -9.07    -6.55    10.16	|
    19.90	|	   317.37   499.99   698.48	|	    16.75    25.00    34.76	|	  2806.27  2129.97  -189.19	|	   -14.80     2.75    -8.26	|	  2820.04 -2129.90   204.33	|	   -12.70    -2.77    10.65	|
    29.90	|	   489.37   750.06  1044.44	|	    17.65    25.01    34.40	|	  2629.54  2136.92  -259.07	|	   -20.63    -1.41    -5.43	|	  2676.82 -2137.49   314.44	|	   -15.86     1.29    11.42	|
    39.90	|	   670.30  1000.22  1385.68	|	    18.53    25.02    33.81	|	  2392.38  2101.12  -290.98	|	   -26.82    -5.76    -0.56	|	  2504.63 -2103.38   433.68	|	   -18.49     5.56    12.47	|
    49.90	|	   859.75  1250.33  1719.62	|	    19.34    24.99    32.93	|	  2093.79  2022.35  -261.34	|	   -32.78    -9.92     6.96	|	  2308.71 -2025.75   564.50	|	   -20.60     9.99    13.73	|
    59.90	|	  1056.44  1499.74  2043.23	|	    19.96    24.87    31.75	|	  1740.95  1905.68  -142.07	|	   -37.46   -13.21    17.35	|	  2094.42 -1903.32   708.96	|	   -22.17    14.51    15.18	|
    69.90	|	  1257.92  1747.11  2353.76	|	    20.28    24.57    30.33	|	  1353.13  1763.79    93.05	|	   -39.58   -14.84    29.92	|	  1867.08 -1735.27   868.67	|	   -23.22    19.10    16.78	|
    79.90	|	  1460.67  1990.46  2649.72	|	    20.21    24.06    28.87	|	   960.76  1616.05   457.82	|	   -38.32   -14.36    42.92	|	  1631.75 -1521.07  1044.84	|	   -23.77    23.75    18.47	|
    89.90	|	  1660.89  2227.70  2931.63	|	    19.79    23.36    27.55	|	   597.13  1482.80   945.92	|	   -33.97   -12.05    54.28	|	  1393.09 -1260.17  1238.44	|	   -23.89    28.45    20.26	|
    99.90	|	  1855.62  2457.34  3201.76	|	    19.13    22.56    26.52	|	   287.85  1378.24  1533.63	|	   -27.67    -8.78    62.73	|	  1155.17  -951.82  1450.52	|	   -23.64    33.24    22.18	|
   109.90	|	  2043.22  2678.77  3463.01	|	    18.38    21.73    25.77	|	    46.10  1307.47  2189.91	|	   -20.64    -5.42    68.02	|	   921.34  -594.86  1682.87	|	   -23.08    38.17    24.34	|
   119.90	|	  2223.11  2892.06  3718.03	|	    17.60    20.94    25.26	|	  -125.21  1268.55  2884.66	|	   -13.69    -2.44    70.50	|	   694.40  -188.22  1938.96	|	   -22.26    43.15    26.97	|
   129.90	|	  2395.31  3097.72  3968.84	|	    16.84    20.20    24.92	|	  -229.51  1257.42  3592.18	|	    -7.30     0.19    70.68	|	   477.49   267.25  2224.46	|	   -21.04    47.86    30.23	|
   139.90	|	  2560.04  3296.38  4216.79	|	    16.11    19.54    24.69	|	  -274.19  1272.35  4293.09	|	    -1.80     2.82    69.33	|	   275.73   766.66  2545.09	|	   -19.18    51.88    33.93	|
   149.90	|	  2717.50  3488.77  4462.80	|	    15.39    18.95    24.53	|	  -268.71  1314.28  4976.49	|	     2.74     5.58    67.30	|	    96.52  1301.94  2902.73	|	   -16.53    55.04    37.55	|
   159.90	|	  2867.82  3675.61  4707.48	|	    14.68    18.43    24.42	|	  -222.01  1383.94  5638.74	|	     6.48     8.33    65.15	|	   -52.31  1865.07  3294.79	|	   -13.13    57.48    40.78	|
   169.90	|	  3011.01  3857.62  4951.33	|	    13.96    17.98    24.36	|	  -141.07  1480.48  6279.68	|	     9.62    10.94    63.05	|	  -164.06  2449.52  3716.59	|	    -9.13    59.32    43.50	|
   179.90	|	  3147.07  4035.56  5194.74	|	    13.25    17.62    24.33	|	   -30.98  1602.08  6900.02	|	    12.33    13.34    61.03	|	  -233.52  3049.58  4163.20	|	    -4.70    60.60    45.74	|
   189.90	|	  3275.99  4210.19  5438.15	|	    12.54    17.32    24.35	|	   104.47  1746.64  7500.39	|	    14.71    15.53    59.05	|	  -256.95  3659.71  4629.86	|	     0.05    61.33    47.52	|
   199.90	|	  3397.84  4382.28  5681.95	|	    11.83    17.11    24.41	|	   262.40  1912.13  8081.17	|	    16.84    17.53    57.11	|	  -232.04  4274.21  5112.08	|	     4.95    61.48    48.85	|
   209.90	|	  3512.75  4552.59  5926.56	|	    11.15    16.97    24.52	|	   440.49  2096.77  8642.55	|	    18.75    19.37    55.17	|	  -157.86  4887.34  5605.50	|	     9.88    61.06    49.76	|
   219.90	|	  3620.96  4721.83  6172.41	|	    10.50    16.89    24.66	|	   636.81  2298.99  9184.51	|	    20.49    21.06    53.22	|	   -34.87  5493.51  6105.95	|	    14.69    60.09    50.26	|
